reference,lien,nom,Gamme PC,image_url,boutique,Taille de l'écran,Résolution écran,Type de Processeur,processeur,Mémoire,Disque Dur,Type Disque Dur,Réf Carte Graphique,Système d'exploitation,Gamer,prix
FX507VU-LP221W-32,https://spacenet.tn/asus-gaming/90228-pc-portable-gamer-asus-tuf-gaming-a15-fx507vu-i7-13gen-32go-512go-ssd-windows-11.html,Pc Portable Gamer Asus Tuf Gaming A15 FX507VU i7 13Gén 32Go 512Go SSD Windows 11,TUF Gaming A15,https://spacenet.tn/291027-home_default/pc-portable-gamer-asus-tuf-gaming-a15-fx507vu-i7-13gen-32go-512go-ssd-windows-11.jpg,SpaceNet,15.6 Pouces,,Intel Core i7,"Intel Core i7 13620H(Up to 4.9 GHz, 24 Mo de mémoire cache, 10 Core)",32 Go,512 Go SSD,SSD,"Nvidia GeForce RTX 4050, 6 Go De Mémoire Dédiée",Windows 11,Oui,"3 695,000 DT"
A12VF-695XFR,https://spacenet.tn/pc-portable-gamer-tunisie/65985-pc-portable-msi-gaming-sword-15-a12vf-i5-12gen-8go-512go-ssd-blanc-a12vf-695xfr.html,Pc Portable MSI Gaming Sword 15 A12VF i5 12Gén 8Go 512Go SSD Blanc (A12VF-695XFR),Sword 15 A12V,https://spacenet.tn/174062-home_default/pc-portable-msi-gaming-sword-15-a12vf-i5-12gen-8go-512go-ssd-blanc-a12vf-695xfr.jpg,SpaceNet,15.6 Pouces,,Intel Core i5,"Intel Core i5-12450H (up to 4.4 Ghz, 12Mo de mémoire cache, Octa-Core)",8 Go,512 Go SSD,SSD,Nvidia GeForce RTX 4060 8Go de Mémoire dédié GDDR6,Free Dos,Oui,"3 699,000 DT"
83DJ00D3FG,https://spacenet.tn/pc-portables-pro-tunisie/81453-pc-portable-lenovo-yoga-7-14iml9-ultra-5-16go-1to-ssd.html,Pc Portable Lenovo Yoga 7 14IML9 Ultra 5 16Go 1To SSD,Yoga 7 14IML9,https://spacenet.tn/244773-home_default/pc-portable-lenovo-yoga-7-14iml9-ultra-5-16go-1to-ssd.jpg,SpaceNet,14 Pouces,,Intel Ultra 5,"Intel Core Ultra 5 125U ( Up to 4,3 GHz, 12 Mo de memoire cache, 12 Cores, 12T)",16 Go,1 To SSD,,Intel Graphics,Free Dos,Non,"3 699,000 DT"
5550I7-1YP-16,https://spacenet.tn/pc-portables-pro-tunisie/89232-pc-portable-dell-latitude-5550-i7-13gen-16go-512go-ssd.html,Pc Portable Dell Latitude 5550 i7 13Gén 16Go 512Go SSD,Latitude 5550,https://spacenet.tn/282462-home_default/pc-portable-dell-latitude-5550-i7-13gen-16go-512go-ssd.jpg,SpaceNet,15.6 Pouces,,Intel Core i7,"Intel Core i7-1355U (Up to 5,00 GHz Turbo max ,12Mo de mémoire cache, 10-Cores)",16 Go,512 Go SSD,SSD,Intel Iris Xe,Ubuntu,Non,"3 699,000 DT"
GIGABYTE-G6KF-I7,https://spacenet.tn/pc-portable-gamer-tunisie/80053-pc-portable-gamer-gigabyte-g6kf-i7-13gen-16go-1to-ssd-windows-11.html,Pc Portable Gamer Gigabyte G6KF I7 13Gén 16Go 1To SSD,G6KF,https://spacenet.tn/237559-home_default/pc-portable-gamer-gigabyte-g6kf-i7-13gen-16go-1to-ssd-windows-11.jpg,SpaceNet,16 Pouces,,Intel Core i7,"Intel Core i7-13620H (up to 4,90 GHz Turbo max, 24 Mo de mémoire cache, 10-Cores)",16 Go,1 To SSD,SSD,Nvidia GeForce RTX 4060 8Go de Mémoire dédié GDDR6,Free Dos,Oui,"3 699,000 DT"
5450I7-1YP-W11,https://spacenet.tn/pc-portables-pro-tunisie/89215-pc-portable-dell-latitude-5450-i7-13gen-8go-512go-ssd-windows-11.html,Pc Portable Dell Latitude 5450 i7 13Gén 8Go 512Go SSD Windows 11,Dell Latitude 5450,https://spacenet.tn/282333-home_default/pc-portable-dell-latitude-5450-i7-13gen-8go-512go-ssd-windows-11.jpg,SpaceNet,14 Pouces,,Intel Core i7,"Intel Core i7 1355 (Up to 5.0 GHz, 12 Mo de mémoire cache, 10 Cœurs)",8 Go,512 Go SSD,SSD,Intel Iris Xe,Windows 11,Non,"3 709,000 DT"
AY2T4EA-W11,https://spacenet.tn/pc-portables-pro-tunisie/85206-pc-portable-hp-envy-x360-14-fc0003nk-ultra-7-16go-1to-ssd-windows-11.html,Pc Portable HP ENVY X360 14-fc0003nk Ultra 7 16Go 1To SSD Windows 11,ENVY X360,https://spacenet.tn/257544-home_default/pc-portable-hp-envy-x360-14-fc0003nk-ultra-7-16go-1to-ssd-windows-11.jpg,SpaceNet,14 Pouces,,Intel Ultra 7,"Intel® Core™ Ultra 7 155U (Up to 4,8 GHz Turbo max, 12 Mo de mémoire cache, 12 Cores)",16 Go,1 To SSD,,Intel UHD,Windows 11 Pro,Non,"3 709,000 DT"
A12VF-695XFR-16,https://spacenet.tn/pc-portable-gamer-tunisie/67531-pc-portable-msi-gaming-sword-15-a12vf-i5-12gen-16go-512go-ssd-blanc.html,Pc Portable MSI Gaming Sword 15 A12VF i5 12Gén 16Go 512Go SSD Blanc,Sword 15 A12V,https://spacenet.tn/181492-home_default/pc-portable-msi-gaming-sword-15-a12vf-i5-12gen-16go-512go-ssd-blanc.jpg,SpaceNet,15.6 Pouces,,Intel Core i5,"Intel Core i5-12450H (up to 4.4 Ghz, 12Mo de mémoire cache, Octa-Core)",16 Go,512 Go SSD,SSD,Nvidia GeForce RTX 4060 8Go de Mémoire dédié GDDR6,Free Dos,Oui,"3 715,000 DT"
5450I7-1YP-16,https://spacenet.tn/pc-portables-pro-tunisie/89216-pc-portable-dell-latitude-5450-i7-13gen-16go-512go-ssd.html,Pc Portable Dell Latitude 5450 i7 13Gén 16Go 512Go SSD,Dell Latitude 5450,https://spacenet.tn/282338-home_default/pc-portable-dell-latitude-5450-i7-13gen-16go-512go-ssd.jpg,SpaceNet,14 Pouces,,Intel Core i7,"Intel Core i7 1355 (Up to 5.0 GHz, 12 Mo de mémoire cache, 10 Cœurs)",16 Go,512 Go SSD,SSD,Intel Iris Xe,Ubuntu,Non,"3 719,000 DT"
9S7-15K111-680,https://spacenet.tn/pc-portable-gamer-tunisie/76740-pc-portable-gamer-msi-cyborg-15-a13vf-i5-13gen-16go-512go-ssd-noir.html,Pc Portable Gamer MSI Cyborg 15 A13VF i5 13Gén 16Go 512Go SSD Noir,Cyborg 15 A13VF,https://spacenet.tn/221427-home_default/pc-portable-gamer-msi-cyborg-15-a13vf-i5-13gen-16go-512go-ssd-noir.jpg,SpaceNet,15.6 Pouces,,Intel Core i5,"Intel Core i5-13420H(up to 4,6 GHz  GHz , 12 Mo de mémoire cache, 8 Cores)",16 Go,512 Go SSD,SSD,Nvidia GeForce RTX 4060 8Go DDR6,Windows 11,Oui,"3 729,000 DT"
GIGABYTE-G6KF-I7-24,https://spacenet.tn/pc-portable-gamer-tunisie/82338-pc-portable-gamer-gigabyte-g6kf-i7-13gen-24go-1to-ssd.html,Pc Portable Gamer Gigabyte G6KF I7 13Gén 24Go 1To SSD,G6KF,https://spacenet.tn/248784-home_default/pc-portable-gamer-gigabyte-g6kf-i7-13gen-24go-1to-ssd.jpg,SpaceNet,16 Pouces,,Intel Core i7,"Intel Core i7-13620H (up to 4,90 GHz Turbo max, 24 Mo de mémoire cache, 10-Cores)",24 Go,1 To SSD,SSD,Nvidia GeForce RTX 4060 8Go de Mémoire dédié GDDR6,Free Dos,Oui,"3 739,000 DT"
A12VF-695XFR-W11,https://spacenet.tn/pc-portable-gamer-tunisie/74645-pc-portable-msi-gaming-sword-15-a12vf-i5-12gen-8go-512go-ssd-w11-blanc.html,Pc Portable MSI Gaming Sword 15 A12VF i5 12Gén 8Go 512Go SSD W11 Blanc,Sword 15 A12V,https://spacenet.tn/231343-home_default/pc-portable-msi-gaming-sword-15-a12vf-i5-12gen-8go-512go-ssd-w11-blanc.jpg,SpaceNet,15.6 Pouces,,Intel Core i5,"Intel Core i5-12450H (up to 4.4 Ghz, 12Mo de mémoire cache, Octa-Core)",8 Go,512 Go SSD,SSD,Nvidia GeForce RTX 4060 8Go de Mémoire dédié GDDR6,Windows 11 Pro,Oui,"3 739,000 DT"
TP3407SA-QL039W,https://spacenet.tn/pc-portable-asus/88303-pc-portable-asus-vivobook-s14-flip-tp3407sa-ultra-7-16go-512-go-ssd-windows-11.html,Pc Portable Asus Vivobook S14 Flip TP3407SA Ultra 7 16Go 512 Go SSD Windows 11,Vivobook S14 Flip,https://spacenet.tn/274683-home_default/pc-portable-asus-vivobook-s14-flip-tp3407sa-ultra-7-16go-512-go-ssd-windows-11.jpg,SpaceNet,14 Pouces,,Intel Ultra 7,"Intel Core Ultra 7 (up to 4.8 GHz, 18Mo Mémoire Cache, 8 cores)",16 Go,512 Go SSD,SSD,Intel Arc,Windows 11,Non,"3 759,000 DT"
5550I7-1YP-16-W11,https://spacenet.tn/pc-portables-pro-tunisie/89234-pc-portable-dell-latitude-5550-i7-13gen-16go-512go-ssd-windows11.html,Pc Portable Dell Latitude 5550 i7 13Gén 16Go 512Go SSD Windows11,Latitude 5550,https://spacenet.tn/282474-home_default/pc-portable-dell-latitude-5550-i7-13gen-16go-512go-ssd-windows11.jpg,SpaceNet,15.6 Pouces,,Intel Core i7,"Intel Core i7-1355U (Up to 5,00 GHz Turbo max ,12Mo de mémoire cache, 10-Cores)",16 Go,512 Go SSD,SSD,Intel Iris Xe,Windows 11,Non,"3 759,000 DT"
83DJ00D3FG-W11,https://spacenet.tn/pc-portables-pro-tunisie/83279-pc-portable-lenovo-yoga-7-14iml9-ultra-5-16go-1to-ssd-windows-11.html,Pc Portable Lenovo Yoga 7 14IML9 Ultra 5 16Go 1To SSD Windows 11,Yoga 7 14IML9,https://spacenet.tn/252270-home_default/pc-portable-lenovo-yoga-7-14iml9-ultra-5-16go-1to-ssd-windows-11.jpg,SpaceNet,14 Pouces,,Intel Ultra 5,"Intel Core Ultra 5 125U ( Up to 4,3 GHz, 12 Mo de memoire cache, 12 Cores, 12T)",16 Go,1 To SSD,,Intel Graphics,Windows 11 Pro,Non,"3 759,000 DT"
UX3407QA-QD180W,https://spacenet.tn/pc-portable-asus/88999-pc-portable-asus-zenbook-a14-snapdragon-x-x126100-16go-1to-ssd-windows-11.html,Pc Portable Asus ZenBook A14 Snapdragon X X126100 16Go 1To SSD Windows 11,ZenBook  A14,https://spacenet.tn/286103-home_default/pc-portable-asus-zenbook-a14-snapdragon-x-x126100-16go-1to-ssd-windows-11.jpg,SpaceNet,14 Pouces,,Snapdragon X,"Snapdragon X X126100(jusqu'à 2.97 GHz, 30 Mo de mémoire cache)",16 Go,1 To SSD,SSD,Qualcomm Adreno,Windows 11,Non,"3 759,000 DT"
5450I7-1YP-16-W11,https://spacenet.tn/pc-portables-pro-tunisie/89217-pc-portable-dell-latitude-5450-i7-13gen-16go-512go-ssd-windows-11.html,Pc Portable Dell Latitude 5450 i7 13Gén 16Go 512Go SSD Windows 11,Dell Latitude 5450,https://spacenet.tn/282344-home_default/pc-portable-dell-latitude-5450-i7-13gen-16go-512go-ssd-windows-11.jpg,SpaceNet,14 Pouces,,Intel Core i7,"Intel Core i7 1355 (Up to 5.0 GHz, 12 Mo de mémoire cache, 10 Cœurs)",16 Go,512 Go SSD,SSD,Intel Iris Xe,Windows 11,Non,"3 779,000 DT"
5440I71Y,https://spacenet.tn/pc-portables-pro-tunisie/81276-pc-portable-dell-latitude-5440-i7-13gen-16go-512go-ssd.html,Pc Portable Dell Latitude 5440 i7 13Gén 16Go 512Go SSD,Latitude 5440,https://spacenet.tn/243739-home_default/pc-portable-dell-latitude-5440-i7-13gen-16go-512go-ssd.jpg,SpaceNet,14 Pouces,,Intel Core i7,,16 Go,512 Go SSD,SSD,Intel Iris Xe,Ubuntu,Non,"3 779,000 DT"
5450I7-1YP,https://spacenet.tn/pc-portables-pro-tunisie/89086-pc-portable-dell-latitude-5450-i7-13gen-8go-512go-ssd.html,Pc Portable Dell Latitude 5450 i7 13Gén 8Go 512Go SSD,Dell Latitude 5450,https://spacenet.tn/281461-home_default/pc-portable-dell-latitude-5450-i7-13gen-8go-512go-ssd.jpg,SpaceNet,14 Pouces,,Intel Core i7,"Intel Core i7 1355 (Up to 5.0 GHz, 12 Mo de mémoire cache, 10 Cœurs)",8 Go,512 Go SSD,SSD,Intel Iris Xe,Ubuntu,Non,"3 649,000 DT"
5550I7-1YP-W11,https://spacenet.tn/pc-portables-pro-tunisie/89231-pc-portable-dell-latitude-5550-i7-13gen-8go-512go-ssd-windows11.html,Pc Portable Dell Latitude 5550 i7 13Gén 8Go 512Go SSD Windows11,Latitude 5550,https://spacenet.tn/282456-home_default/pc-portable-dell-latitude-5550-i7-13gen-8go-512go-ssd-windows11.jpg,SpaceNet,15.6 Pouces,,Intel Core i7,"Intel Core i7-1355U (Up to 5,00 GHz Turbo max ,12Mo de mémoire cache, 10-Cores)",8 Go,512 Go SSD,SSD,Intel Iris Xe,Windows 11,Non,"3 689,000 DT"
FX507VU-LP221W-32,https://spacenet.tn/asus-gaming/90228-pc-portable-gamer-asus-tuf-gaming-a15-fx507vu-i7-13gen-32go-512go-ssd-windows-11.html,Pc Portable Gamer Asus Tuf Gaming A15 FX507VU i7 13Gén 32Go 512Go SSD Windows 11,TUF Gaming A15,https://spacenet.tn/291027-home_default/pc-portable-gamer-asus-tuf-gaming-a15-fx507vu-i7-13gen-32go-512go-ssd-windows-11.jpg,SpaceNet,15.6 Pouces,,Intel Core i7,"Intel Core i7 13620H(Up to 4.9 GHz, 24 Mo de mémoire cache, 10 Core)",32 Go,512 Go SSD,SSD,"Nvidia GeForce RTX 4050, 6 Go De Mémoire Dédiée",Windows 11,Oui,"3 695,000 DT"
A12VF-695XFR,https://spacenet.tn/pc-portable-gamer-tunisie/65985-pc-portable-msi-gaming-sword-15-a12vf-i5-12gen-8go-512go-ssd-blanc-a12vf-695xfr.html,Pc Portable MSI Gaming Sword 15 A12VF i5 12Gén 8Go 512Go SSD Blanc (A12VF-695XFR),Sword 15 A12V,https://spacenet.tn/174062-home_default/pc-portable-msi-gaming-sword-15-a12vf-i5-12gen-8go-512go-ssd-blanc-a12vf-695xfr.jpg,SpaceNet,15.6 Pouces,,Intel Core i5,"Intel Core i5-12450H (up to 4.4 Ghz, 12Mo de mémoire cache, Octa-Core)",8 Go,512 Go SSD,SSD,Nvidia GeForce RTX 4060 8Go de Mémoire dédié GDDR6,Free Dos,Oui,"3 699,000 DT"
83DJ00D3FG,https://spacenet.tn/pc-portables-pro-tunisie/81453-pc-portable-lenovo-yoga-7-14iml9-ultra-5-16go-1to-ssd.html,Pc Portable Lenovo Yoga 7 14IML9 Ultra 5 16Go 1To SSD,Yoga 7 14IML9,https://spacenet.tn/244773-home_default/pc-portable-lenovo-yoga-7-14iml9-ultra-5-16go-1to-ssd.jpg,SpaceNet,14 Pouces,,Intel Ultra 5,"Intel Core Ultra 5 125U ( Up to 4,3 GHz, 12 Mo de memoire cache, 12 Cores, 12T)",16 Go,1 To SSD,,Intel Graphics,Free Dos,Non,"3 699,000 DT"
5550I7-1YP-16,https://spacenet.tn/pc-portables-pro-tunisie/89232-pc-portable-dell-latitude-5550-i7-13gen-16go-512go-ssd.html,Pc Portable Dell Latitude 5550 i7 13Gén 16Go 512Go SSD,Latitude 5550,https://spacenet.tn/282462-home_default/pc-portable-dell-latitude-5550-i7-13gen-16go-512go-ssd.jpg,SpaceNet,15.6 Pouces,,Intel Core i7,"Intel Core i7-1355U (Up to 5,00 GHz Turbo max ,12Mo de mémoire cache, 10-Cores)",16 Go,512 Go SSD,SSD,Intel Iris Xe,Ubuntu,Non,"3 699,000 DT"
GIGABYTE-G6KF-I7,https://spacenet.tn/pc-portable-gamer-tunisie/80053-pc-portable-gamer-gigabyte-g6kf-i7-13gen-16go-1to-ssd-windows-11.html,Pc Portable Gamer Gigabyte G6KF I7 13Gén 16Go 1To SSD,G6KF,https://spacenet.tn/237559-home_default/pc-portable-gamer-gigabyte-g6kf-i7-13gen-16go-1to-ssd-windows-11.jpg,SpaceNet,16 Pouces,,Intel Core i7,"Intel Core i7-13620H (up to 4,90 GHz Turbo max, 24 Mo de mémoire cache, 10-Cores)",16 Go,1 To SSD,SSD,Nvidia GeForce RTX 4060 8Go de Mémoire dédié GDDR6,Free Dos,Oui,"3 699,000 DT"
5450I7-1YP-W11,https://spacenet.tn/pc-portables-pro-tunisie/89215-pc-portable-dell-latitude-5450-i7-13gen-8go-512go-ssd-windows-11.html,Pc Portable Dell Latitude 5450 i7 13Gén 8Go 512Go SSD Windows 11,Dell Latitude 5450,https://spacenet.tn/282333-home_default/pc-portable-dell-latitude-5450-i7-13gen-8go-512go-ssd-windows-11.jpg,SpaceNet,14 Pouces,,Intel Core i7,"Intel Core i7 1355 (Up to 5.0 GHz, 12 Mo de mémoire cache, 10 Cœurs)",8 Go,512 Go SSD,SSD,Intel Iris Xe,Windows 11,Non,"3 709,000 DT"
AY2T4EA-W11,https://spacenet.tn/pc-portables-pro-tunisie/85206-pc-portable-hp-envy-x360-14-fc0003nk-ultra-7-16go-1to-ssd-windows-11.html,Pc Portable HP ENVY X360 14-fc0003nk Ultra 7 16Go 1To SSD Windows 11,ENVY X360,https://spacenet.tn/257544-home_default/pc-portable-hp-envy-x360-14-fc0003nk-ultra-7-16go-1to-ssd-windows-11.jpg,SpaceNet,14 Pouces,,Intel Ultra 7,"Intel® Core™ Ultra 7 155U (Up to 4,8 GHz Turbo max, 12 Mo de mémoire cache, 12 Cores)",16 Go,1 To SSD,,Intel UHD,Windows 11 Pro,Non,"3 709,000 DT"
A12VF-695XFR-16,https://spacenet.tn/pc-portable-gamer-tunisie/67531-pc-portable-msi-gaming-sword-15-a12vf-i5-12gen-16go-512go-ssd-blanc.html,Pc Portable MSI Gaming Sword 15 A12VF i5 12Gén 16Go 512Go SSD Blanc,Sword 15 A12V,https://spacenet.tn/181492-home_default/pc-portable-msi-gaming-sword-15-a12vf-i5-12gen-16go-512go-ssd-blanc.jpg,SpaceNet,15.6 Pouces,,Intel Core i5,"Intel Core i5-12450H (up to 4.4 Ghz, 12Mo de mémoire cache, Octa-Core)",16 Go,512 Go SSD,SSD,Nvidia GeForce RTX 4060 8Go de Mémoire dédié GDDR6,Free Dos,Oui,"3 715,000 DT"
5450I7-1YP-16,https://spacenet.tn/pc-portables-pro-tunisie/89216-pc-portable-dell-latitude-5450-i7-13gen-16go-512go-ssd.html,Pc Portable Dell Latitude 5450 i7 13Gén 16Go 512Go SSD,Dell Latitude 5450,https://spacenet.tn/282338-home_default/pc-portable-dell-latitude-5450-i7-13gen-16go-512go-ssd.jpg,SpaceNet,14 Pouces,,Intel Core i7,"Intel Core i7 1355 (Up to 5.0 GHz, 12 Mo de mémoire cache, 10 Cœurs)",16 Go,512 Go SSD,SSD,Intel Iris Xe,Ubuntu,Non,"3 719,000 DT"
9S7-15K111-680,https://spacenet.tn/pc-portable-gamer-tunisie/76740-pc-portable-gamer-msi-cyborg-15-a13vf-i5-13gen-16go-512go-ssd-noir.html,Pc Portable Gamer MSI Cyborg 15 A13VF i5 13Gén 16Go 512Go SSD Noir,Cyborg 15 A13VF,https://spacenet.tn/221427-home_default/pc-portable-gamer-msi-cyborg-15-a13vf-i5-13gen-16go-512go-ssd-noir.jpg,SpaceNet,15.6 Pouces,,Intel Core i5,"Intel Core i5-13420H(up to 4,6 GHz  GHz , 12 Mo de mémoire cache, 8 Cores)",16 Go,512 Go SSD,SSD,Nvidia GeForce RTX 4060 8Go DDR6,Windows 11,Oui,"3 729,000 DT"
GIGABYTE-G6KF-I7-24,https://spacenet.tn/pc-portable-gamer-tunisie/82338-pc-portable-gamer-gigabyte-g6kf-i7-13gen-24go-1to-ssd.html,Pc Portable Gamer Gigabyte G6KF I7 13Gén 24Go 1To SSD,G6KF,https://spacenet.tn/248784-home_default/pc-portable-gamer-gigabyte-g6kf-i7-13gen-24go-1to-ssd.jpg,SpaceNet,16 Pouces,,Intel Core i7,"Intel Core i7-13620H (up to 4,90 GHz Turbo max, 24 Mo de mémoire cache, 10-Cores)",24 Go,1 To SSD,SSD,Nvidia GeForce RTX 4060 8Go de Mémoire dédié GDDR6,Free Dos,Oui,"3 739,000 DT"
